task,target,model,rmse,mae,r2
phi_exp_soil,phi_exp,ridge,11.141288234898465,9.162345429700089,0.3139711161368889
phi_exp_soil,phi_exp,gpr,12.01598338838643,8.017371830321883,0.20202328315010187
phi_exp_soil,phi_exp,xgboost,12.767500072418043,8.806444708506268,0.09908603433415064
phi_exp_soil,phi_exp,random_forest,12.94787469118068,8.6131666666666,0.07345064808443691
phi_exp_soil,phi_exp,dummy_mean,17.619057257031184,14.295833333333334,-0.7156824747283426
