task,target,model,rmse,mae,r2
delta_phi_calibration,delta_phi,random_forest,0.5211289116836562,0.4150277777777774,0.230785811696826
delta_phi_calibration,delta_phi,xgboost,0.5764679977918279,0.4363489714761566,0.05874487102971515
delta_phi_calibration,delta_phi,ridge,0.594102471291608,0.4015697224681527,0.0002770361752402195
delta_phi_calibration,delta_phi,dummy_mean,0.628477977260328,0.5527777777777771,-0.11876038115219889
delta_phi_calibration,delta_phi,gpr,0.6284783316447276,0.5527779726604107,-0.11876164283948798
