feature,importance_mean,importance_std
omega,1.3468711956411394,0.41315606566819174
sand_pct,0.0292837946847073,0.008845077383499812
rho_bulk,0.009867803996547934,0.0026390406718480516
clay_pct,0.0013600930564357258,0.0005195908564324499
k_d,0.0002658568447815276,7.447292512949955e-05
silt_pct,0.00017365127012810197,0.00011704118984705868
model_c,0.00015320930553960703,9.348997739660726e-05
model_t,3.227972942888939e-05,1.517210832534911e-05
soil_type,4.502229393021917e-06,2.230398356952634e-06
model_n,0.0,0.0
kd_k,0.0,0.0
e,0.0,0.0
d_p,0.0,0.0
