feature,importance_mean,importance_std
soil_type,0.0,0.0
omega,0.0,0.0
sand_pct,0.0,0.0
silt_pct,0.0,0.0
clay_pct,0.0,0.0
rho_bulk,0.0,0.0
model_n,0.0,0.0
model_t,0.0,0.0
model_c,0.0,0.0
k_d,0.0,0.0
kd_k,0.0,0.0
e,0.0,0.0
d_p,0.0,0.0
