feature,importance_mean,importance_std
omega,0.9304728495468303,0.3132042901414782
rho_bulk,0.4223248438676131,0.16177147329448718
clay_pct,0.08211189314621717,0.04178573380103157
silt_pct,0.04751561390348489,0.02132136948072498
sand_pct,0.04083103912558976,0.03033441453612791
soil_type,0.0339568997086761,0.011733681418502031
