task,best_model,loo_rmse_mean,loo_rmse_ci_2_5,loo_rmse_ci_97_5,loo_mae_mean,loo_mae_ci_2_5,loo_mae_ci_97_5,loo_r2_mean,loo_r2_ci_2_5,loo_r2_ci_97_5
phi_exp_soil,gpr,3.18420446570849,0.3150376752780197,8.60564116915175,1.2625281472314287,0.1617832251859036,3.0556479737751188,0.855430873641131,0.20330362832354892,0.999587385640168
phi_dem_surrogate,xgboost,3.764597170718146,0.7469876307012429,7.194852534431422,1.9046438574790958,0.5354926681518559,3.4198511167367296,0.8475701377518875,0.3704064410789562,0.9931790726184578
delta_phi_calibration,dummy_mean,0.5887836499066085,0.3877709615134962,0.7848875542160132,0.5120303030303023,0.3134090909090908,0.7130681818181805,-0.19008264462809915,-0.19008264462809943,-0.19008264462809876
