config,n_features,loo_rmse,loo_mae,loo_r2,logo_rmse,logo_mae,logo_r2
no_friction,10,3.3987553587248365,2.0618357340494793,0.9375392544858262,13.083581070850052,9.252385711669922,0.07440582574672616
soil_only,6,3.4416722055309603,2.144234387079875,0.9359518836126317,13.210008792736145,9.575668589274088,0.05643121270437024
full,13,3.531678476415221,2.3277926921844485,0.9325581197000566,13.052359308466775,9.32878885269165,0.07881810405156098
dem_only,7,4.060644644336998,3.0470236937204995,0.9108426147872455,12.77279256396176,9.10050681432088,0.11785683993382479
no_omega,12,4.184706580303448,2.896898333231608,0.90531146949433,12.47729565664914,7.871447626749675,0.15820123357461258
