model,target,loo_rmse,loo_mae,loo_r2,logo_rmse,logo_mae,logo_r2
gpr,phi_exp,1.0828255896133814,0.8915468770046665,0.9935197971258823,12.01598338838643,8.017371830321883,0.20202328315010187
ridge,phi_exp,3.8194912020587246,2.2900441930952864,0.9193726085431245,11.141288234898465,9.162345429700089,0.3139711161368889
xgboost,phi_exp,3.83008043580819,2.1572932243347167,0.9189249228326115,12.767500072418043,8.806444708506268,0.09908603433415064
random_forest,phi_exp,4.333633641303449,2.6382777777777764,0.8962051109083777,12.94787469118068,8.6131666666666,0.07345064808443691
dummy_mean,phi_exp,14.674143786530395,11.731818181818182,-0.19008264462809943,17.619057257031184,14.295833333333334,-0.7156824747283426
