soil_type,mean,max,count
лёгкий суглинок,1.8060624999999977,2.333371999999997,2
средний суглинок,1.1920975,2.7062540000000013,4
супесчаный,0.4182223333333332,0.9164840000000005,3
тяжёлый суглинок,6.099443000000001,9.037067,3
