model,target,loo_rmse,loo_mae,loo_r2,logo_rmse,logo_mae,logo_r2
dummy_mean,delta_phi,0.6482015807263947,0.5666666666666659,-0.19008264462809876,0.628477977260328,0.5527777777777771,-0.11876038115219889
ridge,delta_phi,0.6888668671326639,0.5523343869614843,-0.34408750454714543,0.594102471291608,0.4015697224681527,0.0002770361752402195
random_forest,delta_phi,0.7100991975564876,0.6098333333333321,-0.42821961709939393,0.5211289116836562,0.4150277777777774,0.230785811696826
gpr,delta_phi,0.7358978224576934,0.6478993452513527,-0.5338821230155124,0.6284783316447276,0.5527779726604107,-0.11876164283948798
xgboost,delta_phi,0.8182178664840933,0.7235624390343817,-0.8962468271609929,0.5764679977918279,0.4363489714761566,0.05874487102971515
